Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
141 Mazda Demio 1.3 Automatic 5dr Model,"€8,900",Mazda,Demio,EXCLUSIVE (FOCUS),Medium Trim,2014,"48,000 mi",Petrol,Automatic,Hatchback,1.3 litre,63hp,14 sec,5,5,Red,Ireland,---,190,Sep 2024,---,Available,,,,
131 Honda Fit 1.3 Automatic 5dr Model,"€8,900",Honda,Fit,---,---,2013,"29,000 mi",Petrol,Automatic,Hatchback,1.3 litre,---,---,5,5,Yellow,Ireland,---,180,Sep 2024,---,Available,,,,
141 Mazda Demio 1.3 Automatic 5dr Model,"€8,900",Mazda,2,EXCLUSIVE (FOCUS),Medium Trim,2014,"48,000 mi",Petrol,Automatic,Hatchback,1.3 litre,63hp,14 sec,5,5,Red,Ireland,---,190,Sep 2024,---,Available,,,,
Renault with crane,£1,Renault,Other,,,2013,"398,000 km",Unknown,---,Unknown,---,,,,,,,,,,,,,380,,
Nissan NOTE 1.2 E - Power Hybrid Automatic,"€14,500",Nissan,Note,---,---,2017,"121,001 km",Hybrid,Automatic,Hatchback,1.2 litre,---,---,---,5,White,Ireland,1,---,Jul 2024,---,Available,---,,,
"Mercedes-Benz A-Class, 2014","€17,950",Mercedes-Benz,A-Class,URBAN,Medium Trim,2014,"57,000 mi",Petrol,Automatic,Hatchback,1.6 litre,156hp,8.4 sec,5,5,Red,Ireland,1,210,May 2024,5/5,6 Month,,,,
Ford Fiesta 1.1l 85 PS Titanium,"€15,500",Ford,Fiesta,Titanium,Luxury Trim,2017,"62,000 km",Petrol,Manual,Hatchback,1.1 litre,85hp,14.0 sec,5,4,Red,Ireland,2,190,Sep 2023,---,Available,,,,
131 Volkswagen Polo 1.2 TSI Automatic 5dr Model,"€9,400",Volkswagen,Polo,TRENDLINE,Base Trim,2013,"40,000 mi",Petrol,Automatic,Hatchback,1.2 litre,60hp,16.1 sec,5,5,Red,Ireland,---,190,Sep 2024,---,Available,,,,
131 Nissan Micra March 1.2 Automatic 5dr Model,"€6,900",Nissan,Micra,---,Base Trim,2013,"59,000 mi",Petrol,Automatic,Hatchback,1.2 litre,80hp,14.5 sec,5,5,Silver,Ireland,---,180,Sep 2024,4/5,Available,,,,
Mitsubishi L 200 Finance and Warranty,"€30,750",Mitsubishi,L200,,,2018,"120,701 km",Diesel,Manual,Van,2.4 litre,,,---,,,,,,,,,,,,
Nissan Leaf SV 62kw,"€38,540",Nissan,Leaf,---,---,2022,0 mi,Electric,Automatic,Hatchback,,---,---,---,4,Red,Other,---,---,---,---,,---,,,---
"Peugeot Partner, 2014 fresh doe and warranty","€4,999",Peugeot,Partner,---,---,2014,"143,000 mi",Diesel,Manual,Van,1.6 litre,---,---,2,5,White,Ireland,1,333,---,---,3 Month,,,,
Audi A3 S-Line Black Edition 2.0TDI 180 BHP DSG,"€11,950",Audi,A3,---,---,2012,"99,000 mi",Diesel,Automatic,Hatchback,2.0 litre,170hp,7.7 sec,5,5,Silver,Ireland,1,270,Dec 2023,---,,,,,
Renault Clio Dynamique Edition Naeb Tce  Service,"€25,558",Renault,Clio,Dynamique,Medium Trim,2022,0 km,Petrol,Manual,Hatchback,1.0 litre,72hp,16.4 sec,5,5,Black,Ireland,---,---,---,5/5,Available,,,,
Kia Sportage 1.6 Crdi Mhev K2,"€27,900",KIA,Sportage,K2,Base Trim,2021,"32,163 km",Hybrid,Manual,SUV,1.6 litre,136hp,11.8 sec,5,5,White,Ireland,1,270,Jul 2025,5/5,Available,0.4 kWh,,,
Renault Captur TCe 100 Iconic,"€23,950",Renault,Captur,Iconic,Medium Trim,2020,"18,000 km",Petrol,Manual,Hatchback,1.0 litre,100hp,13.3 sec,5,5,Orange,Ireland,1,200,Aug 2024,5/5,Available,,,,
Major Stone Burrier,"€4,500",Other,,,,,,,,,,,,,,,,,,,,,,,Other,
Volkswagen Passat 2012,"€5,500",Volkswagen,Passat,TRENDLINE,Base Trim,2012,"194,955 mi",Diesel,Unknown,Saloon,1.6 litre,105hp,12.2 sec,5,---,Grey,Ireland,3,190,Mar 2023,5/5,,,,,
BMW 5 Series Sunroof // Ivory Lthr,No Price,BMW,5-Series,---,---,2022,"8,000 mi",Hybrid,Automatic,Saloon,2.0 litre,---,---,---,4,Grey,Ireland,---,---,---,---,,---,,,
2013 BMW 316D * TOURING * LOW MILES *,"€13,500",BMW,3-Series,SE,Medium Trim,2013,"89,265 mi",Diesel,Manual,Estate,2.0 litre,116hp,11.2 sec,5,5,Black,Ireland,2,270,May 2023,5/5,3 Month,,,,
2011 VW TOUAREG * 3.0 TDI * AUTOMATIC * FSH *,"€16,900",Volkswagen,Touareg,BLUEMOTION,Base Trim,2011,"135,055 mi",Diesel,Automatic,SUV,3.0 litre,204hp,9.0 sec,5,4,Grey,Ireland,2,1200,Jul 2023,---,3 Month,,,,
2017 KIA Sportage 1.7 CDRI Platinum,"€17,500",KIA,Sportage,PLATINUM,Medium Trim,2017,"222,000 km",Diesel,Manual,SUV,1.7 litre,115hp,11.5 sec,5,5,Grey,Ireland,2,200,Mar 2023,5/5,,,,,
Bmw x5 crewcab 5 seater NEW DOE,"€4,250",BMW,X5,,,2005,"225,000 mi",Diesel,Automatic,SUV,3.0 litre,,,5,,,,,,,,,,,,
2013 VW GOLF * 1.6TDI * LOW MILES *,"€10,500",Volkswagen,Golf,250,Base Trim,2013,"99,489 mi",Diesel,Manual,Hatchback,1.6 litre,90hp,12.9 sec,5,4,Blue,Ireland,2,200,Apr 2023,---,3 Month,,,,
2011 AUDI A5 * 2.0 TDI 143HP * SPORTBACK *,"€10,500",Audi,A5,SE,Medium Trim,2011,"128,630 mi",Diesel,Manual,Hatchback,2.0 litre,143hp,9.7 sec,4,5,Blue,Ireland,1,280,Mar 2023,---,3 Month,,,,
2014 OPEL ASTRA 1.6 P * LIMITED EDITION *LOW MILES,"€9,250",Opel,Astra,---,---,2014,"50,283 mi",Petrol,Manual,Hatchback,1.6 litre,---,---,5,5,Red,Ireland,1,390,Feb 2024,---,3 Month,,,,
Volkswagen Golf,"€3,200",Volkswagen,Golf,,,2008,---,Diesel,---,Hatchback,1.9 litre,,,5,---,Black,Ireland,9,280,Nov 2023,,,,,,
2016 Mercedes C200SE 7 G-Tronic Auto,"£16,350",Mercedes-Benz,C-Class,---,---,2016,"35,000 mi",Petrol,Automatic,Saloon,2.0 litre,---,---,5,4,Silver,United Kingdom,2,---,---,---,,,,,
Nissan Qashai 2018 Mega spec - low mileage,"€18,900",Nissan,Qashqai,XE,Base Trim,2018,"90,000 km",Diesel,Manual,Hatchback,1.5 litre,110hp,12.4 sec,5,5,Grey,Ireland,---,210,Jul 2024,---,,,,,
Ford Kuga 1.5tdci 120PS FWD Titanium,"€26,000",Ford,Kuga,Titanium,Base Trim,2019,"63,000 km",Diesel,Manual,SUV,1.5 litre,120hp,12.7 sec,5,4,Black,Ireland,1,280,Mar 2023,5/5,Available,,,,
Jaguar XF 2013 2.2 Luxury Auto,"€12,000",Jaguar,XF,Luxury,Medium Trim,2013,"131,000 mi",Diesel,Automatic,Saloon,2.2 litre,---,---,5,4,Silver,Ireland,1,390,Jul 2023,4/5,,,,,
2020 Volkswagen Amarok 3.0 TDI Highline V6 4M Auto,No Price,Volkswagen,Amarok,---,---,2020,"40,053 mi",Diesel,Automatic,Pick Up,3.0 litre,---,---,5,4,Brown,United Kingdom,---,---,---,---,Available,,,,
Opel Astra 2006 LOW MILEAGE!,"€1,850",Opel,Astra,,,2006,"136,249 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Silver,Ireland,4,385,Mar 2022,,,,,,
Dacia Jogger TCe 110 Comfort,"€27,000",Dacia,Jogger,Comfort,Medium Trim,2022,10 km,Petrol,Manual,MPV,1.0 litre,110hp,11.2 sec,7,5,Brown,Ireland,1,200,Jul 2026,---,Available,,,,
CUPRA 290BHP 3 DOOR NEW NCT,"€24,950",SEAT,Leon,CUPRA,Sports Trim,2016,"92,000 mi",Petrol,Manual,Hatchback,2.0 litre,280hp,4.7 sec,5,3,Grey,Ireland,---,280,Apr 2023,---,3 Month,,,,
Audi A1 1.4L Sport Back Automatic *45K Miles Only*,"€12,995",Audi,A1,---,Base Trim,2013,"45,000 mi",Petrol,Automatic,Hatchback,1.4 litre,122hp,9.0 sec,5,5,White,Ireland,---,270,Jul 2024,5/5,3 Month,,,,
Ford Fiesta Titanium 1.0t Ecoboost 100hp,"€18,975",Ford,Fiesta,Titanium,Medium Trim,2020,"44,725 km",Petrol,Manual,Hatchback,1.0 litre,100hp,10.5 sec,5,4,White,Ireland,1,190,Jan 2024,5/5,Available,,,,
Volkswagen Polo 1.0 TSI 65hp Trendline,"€17,495",Volkswagen,Polo,Trendline,Base Trim,2019,"35,085 km",Petrol,Manual,Hatchback,1.0 litre,65hp,16.1 sec,5,5,Grey,Ireland,2,190,Feb 2023,---,Available,,,,
"Mitsubishi Canter, 2005 FLATBED DOE 04/23","€4,950",Mitsubishi,Canter,,,2005,"110,000 mi",Diesel,Manual,Flatbed,3.0 litre,,,3,,,,,,,,,,,,
LPD SERVICE CENTRE,No Price,LPD SERVICE CENTRE,LPD SERVICE CENTRE,,,2018,---,---,---,---,---,,,,,,,,,,,,,215,,
"Volkswagen Caddy, 2012 DOE 03/23","€4,950",Volkswagen,Caddy,,,2012,"85,000 mi",Diesel,Manual,Panel Van,1.6 litre,,,2,,,,,,,,,,,,
Mazda MX-5 2007,"€7,495",Mazda,MX-5,,,2007,"134,000 km",Petrol,Manual,Convertible,1.8 litre,,,2,2,Grey,Ireland,2,636,Aug 2022,,,,,,
"Renault Megane, 2016 NCT 09/24","€9,950",Renault,Megane,LIMITED,Medium Trim,2016,"75,000 km",Diesel,Manual,Hatchback,1.5 litre,95hp,12.3 sec,5,4,Black,Ireland,2,180,Sep 2024,---,,,,,
"Mercedes-Benz C-Class, 2010 AUTO NCT 08/23","€5,750",Mercedes-Benz,C-Class,,,2010,"220,000 mi",Diesel,Automatic,Saloon,2.1 litre,,,5,4,Grey,Ireland,3,390,Aug 2023,,,,,,
"Renault Master, 2014 DOE 08/23","€8,950",Renault,Master,,,2014,"185,000 mi",Diesel,Manual,Panel Van High Roof,2.3 litre,,,3,,,,,,,,,,,,
"Mercedes-Benz Sprinter, 2020 DOE AND TAXED 01/23","€27,950",Mercedes-Benz,Sprinter,,,2020,"60,000 mi",Diesel,Manual,Panel Van High Roof,2.1 litre,,,3,,,,,,,,,,,,
"Ford Transit, 2014 FRIDGE VAN DOE 07/23","€8,950",Ford,Transit,,,2014,"200,000 mi",Diesel,Manual,Refrigerated,2.2 litre,,,3,,,,,,,,,,,,
"Volkswagen Golf, 2015 GTD 2.0 DIESEL NCT 11/23","€19,950",Volkswagen,Golf,GTD,Sports Trim,2015,"100,000 mi",Diesel,Manual,Estate,2.0 litre,184hp,7.5 sec,5,5,Grey,Ireland,---,190,Nov 2023,5/5,,,,,
"LDV V80, 2016 HIGH ROOF LONG WHEEL BASE DOE 01/23","€6,950",LDV,V80,,,2016,"180,000 mi",Diesel,Manual,Panel Van High Roof,2.5 litre,,,3,,,,,,,,,,,,
"Volkswagen Crafter, 2010 DOE 04/23 &TAXED 06/22","€6,250",Volkswagen,Crafter,,,2010,"140,000 mi",Diesel,Manual,Panel Van High Roof,2.5 litre,,,3,,,,,,,,,,,,
Mercedes-Benz E-Class E 300 de AMG Line Premium P,"€65,950",Mercedes-Benz,E-Class,AMG Line Ext,Base Trim,2021,"46,652 km",Hybrid,Automatic,Estate,2.0 litre,306hp,6.0 sec,5,5,Black,Ireland,1,140,Mar 2025,5/5,Available,13.5 kWh,,,
Ford Fiesta 1.1l 85 PS Titanium,"€17,500",Ford,Fiesta,Titanium,Medium Trim,2019,"65,000 km",Petrol,Manual,Hatchback,1.1 litre,85hp,14.0 sec,5,4,Black,Ireland,1,200,Aug 2023,5/5,Available,,,,
LPD CAR SALES CASH FOR CARS,No Price,Audi,A3,,,2010,---,---,---,---,---,,,---,---,---,---,---,---,---,,,,,,
"Ford Transit, 2014 DOE 07/23","€6,950",Ford,Transit,,,2014,"170,000 mi",Diesel,Manual,Panel Van,2.2 litre,,,3,,,,,,,,,,,,
"Ford Focus, 2009 1.6 PETROL NCT 02/23","€2,450",Ford,Focus,,,2009,"130,000 mi",Petrol,Manual,Saloon,1.6 litre,,,5,4,Black,Ireland,3,570,Feb 2023,,,,,,
"Audi A3 S Line ,  2016 Saloon Auto 1.6 Diesel","€22,950",Audi,A3,S LINE,Sports Trim,2016,"50,000 mi",Diesel,Manual,Saloon,1.6 litre,110hp,10.7 sec,5,4,Silver,Ireland,2,190,Oct 2024,5/5,,,,,
"SEAT Leon, 2015 NCT 06/23","€9,900",SEAT,Leon,SE,Luxury Trim,2015,"150,000 mi",Diesel,Manual,Hatchback,1.6 litre,105hp,---,5,5,Black,Ireland,4,180,Jun 2023,---,,,,,
2008 Ford mondeo 1.8 diesel,"€2,550",Ford,Mondeo,,,2008,"144,000 mi",Diesel,Manual,Hatchback,1.8 litre,,,5,5,Black,Ireland,7,390,Jan 2023,,,,,,
"Renault Scenic, 2011 NCT 09/22","€4,250",Renault,Scenic,TOMTOM ED,Medium Trim,2011,"170,000 mi",Diesel,Manual,MPV,1.5 litre,110hp,12.3 sec,5,4,Gold,Ireland,2,270,Sep 2022,---,,,,,
"Volvo V40, 2018 R DESIGN NCT 05/24","€17,950",Volvo,V40,R-Design,Sports Trim,2018,"70,000 mi",Diesel,Manual,Hatchback,2.0 litre,120hp,10.5 sec,5,5,Grey,Ireland,---,170,May 2024,---,,,,,
Isuzu  2014  WITH TAIL LIFT DOE 08/23,"€11,950",Isuzu,Other,,,2014,"206,000 km",Diesel,---,Box Van,3.0 litre,,,3,,,,,,,,,,,,
"Ford Transit, 2011","€5,950",Ford,Transit,---,---,2011,"125,000 km",Diesel,---,Van,2.2 litre,---,---,3,5,White,Ireland,7,---,---,---,,,,,
"Ford Transit Custom, 2015 DOE 06/23","€11,950",Ford,Transit Custom,,,2015,"150,000 mi",Diesel,Manual,Panel Van,2.2 litre,,,3,,,,,,,,,,,,
2017 KTM 450,"€3,950",KTM,450,,,2017,---,,,,449 cc,,,,,,,,,,,,,,,
2010 HONDA CRF 250,"€2,500",Honda,CRF,,,2010,---,,,,"2,500 cc",,,,,,,,,,,,,,,
"Ford Transit, 2011 DOE 01/23","€5,450",Ford,Transit,,,2011,"140,000 mi",Diesel,Manual,Panel Van High Roof,2.4 litre,,,3,,,,,,,,,,,,
"Ford Transit, 2013 DOE 01/23 HIGH ROOF","€6,950",Ford,Transit,,,2013,"180,000 mi",Diesel,Manual,Panel Van High Roof,2.2 litre,,,3,,,,,,,,,,,,
"Volvo S60, 2015 AUTO // FULL SERVICE HISTORY","€13,950",Volvo,S60,SE,Medium Trim,2015,"126,310 mi",Diesel,Automatic,Saloon,2.0 litre,120hp,11.4 sec,5,4,White,Ireland,1,190,Sep 2023,---,3 Month,,,,
Renault Trafic 170BHP Manual Sport EX VAT Price D,"€27,300",Renault,Trafic,,,2021,"46,787 km",Diesel,Manual,Panel Van,2.0 litre,,,---,,,,,,,,,,,,
2014 VOLKSWAGEN GOLF HIGHLINE 1.6 TDI NCT 01/24,"€13,499",Volkswagen,Golf,HIGHLINE,Luxury Trim,2014,"150,751 km",Diesel,Manual,Estate,1.6 litre,105hp,10.7 sec,5,5,Red,Ireland,2,180,Jan 2024,5/5,3 Month,,,,
"Ford Focus, 2013 NCT 03/23","€9,450",Ford,Focus,ZETEC,Sports Trim,2013,"60,000 mi",Petrol,Manual,Hatchback,1.0 litre,100hp,12.5 sec,5,5,White,Ireland,3,190,Mar 2023,5/5,,,,,
Toyota Hybrid Aqua C High Spec Editon,"€12,950",Toyota,Aqua,---,---,2016,"131,000 km",Petrol Hybrid,Automatic,Hatchback,1.5 litre,---,---,---,5,White,---,---,170,---,---,6 Month,---,,,
"Ford Transit Connect, 2015 3 SEATER DOE 04/23","€11,250",Ford,Transit Connect,,,2015,"155,000 mi",Diesel,Manual,Panel Van,1.6 litre,,,3,,,,,,,,,,,,
"Volkswagen Polo, 2015 NCT 11/23","€11,950",Volkswagen,Polo,Crosspolo,Medium Trim,2015,"26,000 mi",Petrol,Manual,Hatchback,1.2 litre,90hp,11.4 sec,5,5,Red,Ireland,1,190,Nov 2023,5/5,,,,,
Nissan Juke ACENTA 1.5 Premium Pack 5dr Hatchback,"€5,995",Nissan,Juke,,,2010,"130,340 mi",Diesel,Manual,SUV,1.5 litre,,,5,5,Brown,Ireland,3,280,Mar 2023,,3 Month,,,,
"Skoda Fabia, 2016 monte carlo 1 litre petrol","€11,950",Skoda,Fabia,ACTIVE,Base Trim,2016,"80,000 km",Petrol,Manual,Hatchback,1.0 litre,75hp,14.7 sec,5,4,Red,Ireland,2,190,Jan 2024,---,3 Month,,,,
"Volkswagen Polo, 2012","€6,500",Volkswagen,Polo,TRENDLINE,Base Trim,2012,"180,277 km",Petrol,Manual,Hatchback,1.2 litre,60hp,16.1 sec,5,5,Black,Ireland,2,270,Jan 2022,5/5,3 Month,,,,
"Volkswagen Passat, 2018","€23,950",Volkswagen,Passat,Trendline,Base Trim,2018,---,Diesel,Manual,Saloon,1.6 litre,120hp,10.8 sec,5,4,Brown,Ireland,2,190,Apr 2023,5/5,,,,,
Honda Insight 2011,"€7,450",Honda,Insight,SE,Medium Trim,2011,"53,000 km",Petrol Hybrid,Automatic,Hatchback,1.3 litre,98hp,12.5 sec,5,5,White,Ireland,---,160,Sep 2023,5/5,,---,,,
BMW M Sport 3-Series 2008 full kit M3,"€6,500",BMW,3-Series,,,2008,"300,000 km",Petrol,Manual,Saloon,2.0 litre,,,5,4,Silver,Ireland,6,390,Apr 2023,,,,,,
"Volkswagen Golf,Cabrio  2011 NCT 12/22","€10,950",Volkswagen,Golf,BLUEMOTION,Base Trim,2011,"121,500 mi",Petrol,Manual,Convertible,1.2 litre,105hp,11.7 sec,4,2,Black,Ireland,2,280,Dec 2022,5/5,,,,,
"Ford Kuga, 2014 CREW CAB DOE 08/23","€8,950",Ford,Kuga,,,2014,"220,000 mi",Diesel,Manual,Pickup,2.0 litre,,,4,,,,,,,,,,,,
"Volkswagen Transporter, 2015 RECOVERY VEHICLE","€17,950",Volkswagen,Transporter,,,2015,"144,000 mi",Diesel,Manual,Panel Van,2.0 litre,,,3,,,,,,,,,,,,
"Fiat Panda, 2010 NCT 08/23","€3,900",Fiat,Panda,,,2010,"88,000 mi",Petrol,Manual,Hatchback,1.1 litre,,,5,5,Red,Ireland,5,200,Aug 2023,,,,,,
"Skoda Octavia, 2014 NCT 08/24","€8,950",Skoda,Octavia,Elegance,Luxury Trim,2014,"195,000 mi",Diesel,Manual,Saloon,1.6 litre,105hp,10.8 sec,5,4,Grey,Ireland,2,180,Aug 2024,5/5,,,,,
Mk2 GTI 16v,"€7,950",Volkswagen,Golf,,,1991,"190,000 mi",Petrol,---,Hatchback,1.8 litre,,,5,5,Blue,Ireland,---,---,---,,,,,,
"Volkswagen Golf R, 2016 DSG 420 BHP","€30,950",Volkswagen,Golf,R,Sports Trim,2016,"100,000 mi",Petrol,Automatic,Hatchback,2.0 litre,300hp,4.9 sec,5,5,Blue,Ireland,3,570,Jun 2024,5/5,,,,,
"Toyota Auris, 2018 NCT 01/24 & TAXED 01/23","€16,450",Toyota,Auris,Luna,Medium Trim,2018,"68,000 mi",Diesel,Manual,Hatchback,1.4 litre,90hp,12.5 sec,5,4,Grey,Ireland,1,190,Jan 2024,---,,,,,
"Mercedes-Benz Other, 2009 FRIDGE VAN DOE 03/23","€6,950",Mercedes-Benz,Other,,,2009,"244,000 mi",Diesel,Manual,Refrigerated,2.1 litre,,,3,,,,,,,,,,,,
"Opel Insignia, 2011 ELITE NCT 09/23 & TAXED 04/23","€3,950",Opel,Insignia,SE,Medium Trim,2011,"200,000 mi",Diesel,Manual,Hatchback,2.0 litre,160hp,9.5 sec,5,5,Blue,Ireland,2,270,Sep 2023,---,,,,,
"Skoda Octavia, 2012 NCT 01/23 AND TAXED 02/23","€3,750",Skoda,Octavia,Elegance,Luxury Trim,2012,"305,000 mi",Diesel,Manual,Estate,2.0 litre,140hp,9.6 sec,5,4,Grey,Ireland,2,270,Jan 2023,---,,,,,
"Volkswagen Golf R, 2015 R 2.0 TSI 300BHP","€26,950",Volkswagen,Golf,---,---,2015,"114,000 mi",Petrol,Manual,Hatchback,2.0 litre,---,---,5,5,White,UK,2,---,Mar 2024,---,,,,,
"Renault Trafic, 2016 DOE 06/23","€12,950",Renault,Trafic,,,2016,"180,000 mi",Diesel,Manual,Panel Van,1.6 litre,,,3,,,,,,,,,,,,
"Opel Insignia, 2015 NCT 05/23","€6,950",Opel,Insignia,---,---,2015,"200,000 mi",Diesel,---,Hatchback,2.0 litre,---,---,5,5,Grey,Ireland,---,180,May 2023,---,,,,,
"SEAT Altea XL,2015 NCT 08/23","€7,950",SEAT,Altea,SE,Base Trim,2015,"140,000 mi",Diesel,Manual,MPV,1.6 litre,105hp,12.2 sec,5,4,Silver,Ireland,1,280,Aug 2023,---,,,,,
"Ford Focus, 2009 HATCHBACK NCT 11/22","€2,950",Ford,Focus,,,2009,"200,000 mi",Diesel,Manual,Hatchback,1.8 litre,,,5,5,Blue,Ireland,2,280,Nov 2022,,,,,,
Hyundai i30 I 30 Deluxe 5DR,"€28,945",Hyundai,i30,Deluxe,Base Trim,2022,"16,697 km",Diesel,Manual,Hatchback,1.6 litre,110hp,11.0 sec,5,5,White,Ireland,1,190,Jan 2026,5/5,,,,,
Nissan QASHQAI 1.5 DCI N-connecta 5DR 110PS,"€23,950",Nissan,Qashqai,XE,Base Trim,2018,"77,543 km",Diesel,Manual,MPV,1.5 litre,110hp,11.9 sec,5,5,Grey,Ireland,1,180,May 2022,5/5,Available,,,,
"Volvo V40, 2017 NCT 07/23","€16,950",Volvo,V40,Momentum Edition,Medium Trim,2017,"72,000 km",Diesel,Manual,Hatchback,2.0 litre,120hp,10.5 sec,5,5,Grey,Ireland,2,180,Jul 2023,---,,,,,
"Peugeot 208,Car Van DOE 09/23","€7,450",Peugeot,207,,,2017,"60,000 mi",Diesel,Manual,Panel Van,---,,,5,,,,,,,,,,,,
YAMAHA royal star venture,"€9,000",YAMAHA,Other,,,2007,"28,000 mi",,,,"1,294 cc",,,,,,,,,,,,,,,
Skoda Superb Tdci 2.0 SE L Executive 150PS 5DR A,"€28,450",Skoda,Superb,---,---,2019,"106,828 km",Diesel,Manual,Hatchback,2.0 litre,---,---,---,5,Grey,Northern Ireland,1,---,---,---,,,,,
Ford Transit,"€1,700",Ford,Transit,,,2003,"130,000 km",Diesel,Manual,Van,2.0 litre,,,3,,,,,,,,,,,,
"Volkswagen Crafter, 2017 FRIDGE VAN DOE 04/23","€14,950",Volkswagen,Crafter,,,2017,"180,000 mi",Diesel,Manual,Refrigerated,2.0 litre,,,3,,,,,,,,,,,,
"Peugeot 307, 2007","€2,450",Peugeot,307,,,2007,"161,000 mi",Diesel,---,Hatchback,1.6 litre,,,5,5,Silver,Ireland,1,---,Mar 2023,,,,,,
"Nissan Pulsar, 2015 AUTO LOW MILEAGE NCT 05/23","€13,950",Nissan,Pulsar,SV,Medium Trim,2015,"25,000 mi",Petrol,Automatic,Hatchback,1.2 litre,115hp,12.7 sec,5,4,Blue,Ireland,2,200,May 2023,5/5,,,,,
"Renault Fluence, 2012 NCT 12/23 & TAXED 10/22","€3,750",Renault,Fluence,DYNAMIQUE,Medium Trim,2012,"295,000 km",Diesel,Manual,Saloon,1.5 litre,90hp,13.0 sec,5,4,Grey,Ireland,2,200,Dec 2023,---,,,,,
"Mercedes-Benz C-Class, 2012 NCT 11/23","€9,900",Mercedes-Benz,C-Class,Avantgarde Sport,Sports Trim,2012,"160,000 mi",Diesel,Automatic,Saloon,2.1 litre,170hp,8.1 sec,5,4,Black,Ireland,---,280,Oct 2023,---,,,,,
"Ford Transit, 2011 DOE 07/23 & TAXED 12/22","€5,450",Ford,Transit,,,2011,"185,000 mi",Diesel,Manual,Panel Van High Roof,2.4 litre,,,3,,,,,,,,,,,,
"Opel Insignia, 2014 NCT 01/25","€5,450",Opel,Insignia,SE,Medium Trim,2014,"175,000 mi",Diesel,Manual,Saloon,2.0 litre,140hp,10.5 sec,5,4,Silver,Ireland,3,180,Jan 2023,---,,,,,
"Ford Transit Connect, 2017 DOE 08/23","€11,950",Ford,Transit Connect,,,2017,"71,000 mi",Diesel,Manual,Panel Van,1.5 litre,,,2,,,,,,,,,,,,
"BMW 3-Series, 2010 NCT 10/23","€5,450",BMW,3-Series,,,2010,"235,000 mi",Diesel,Manual,Saloon,2.0 litre,,,5,---,Blue,Ireland,1,270,Oct 2023,,,,,,
2010 Nissan Qashqai,"€4,950",Nissan,Qashqai,,,2010,"112,500 mi",Diesel,Manual,Hatchback,1.5 litre,,,5,5,Brown,Ireland,1,280,Aug 2023,,,,,,
"Volkswagen Golf, 2018 HIGH SPEC NCT 09/24","€19,950",Volkswagen,Golf,---,---,2018,"58,000 mi",Diesel,Manual,Hatchback,1.6 litre,---,---,5,5,White,Northern Ireland,2,200,Sep 2024,---,,,,,
"Mini ONE, 2015 NCT 09/24","€11,450",Mini,ONE,---,---,2015,"87,000 mi",Petrol,Manual,Hatchback,1.2 litre,---,---,5,3,Blue,Northern Ireland,1,200,Sep 2024,---,,,,,
BMW 5-Series 520D M Sport,"€47,000",BMW,5-Series,M Sport,Sports Trim,2020,"60,000 km",Diesel,Unknown,Saloon,2.0 litre,184hp,8.1 sec,5,4,Grey,Ireland,---,190,Jan 2024,---,,,,,
"Ford Transit, 2015 RECOVERY VEHICLE READY TO GO","€17,950",Ford,Transit Custom,,,2015,"130,000 mi",Diesel,Manual,Other,2.2 litre,,,3,,,,,,,,,,,,
"BMW 3-Series, 2011 NCT 01/23 & TAXED 07/22","€6,450",BMW,3-Series,EXCLUSIVE EDITION,Medium Trim,2011,"180,000 mi",Diesel,Manual,Saloon,2.0 litre,143hp,9.1 sec,5,4,Blue,Ireland,3,200,Jan 2023,---,,,,,
"LDV V80, 2016 HIGH ROOF LONG WHEEL BASE DOE 01/23","€7,450",LDV,V80,,,2016,"180,000 mi",Diesel,Manual,Panel Van High Roof,2.5 litre,,,3,,,,,,,,,,,,
"Mini Cooper, 2015 LOW MILEAGE NCT 05/23","€13,950",Mini,Cooper,---,---,2015,"26,000 mi",Petrol,---,Hatchback,1.5 litre,---,---,4,---,White,Ireland,1,190,May 2023,---,,,,,
"2013 Toyota Vitz, 1.3 Auto/ PushStart","€8,450",Toyota,Vitz,Luna,Medium Trim,2013,"59,000 mi",Petrol,Automatic,Hatchback,1.3 litre,99hp,12.3 sec,5,5,Purple,Ireland,---,170,Oct 2024,---,Available,,,,
"Opel Movano, 2012 BOXBODY DOE12/22","€8,950",Opel,Movano,,,2012,"155,500 mi",Diesel,Manual,Luton Van,2.3 litre,,,3,,,,,,,,,,,,
"Nissan Nv200, 2015 DOE 01/23","€7,950",Nissan,NV200,,,2015,"200,000 mi",Diesel,Manual,Panel Van,1.5 litre,,,2,,,,,,,,,,,,
"Nissan Cabstar, 2010 FLATBED 3 SEATS","€8,950",Nissan,Cabstar,,,2010,"145,000 mi",Diesel,Manual,Flatbed,2.5 litre,,,3,,,,,,,,,,,,
