Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
Opel Mokka X SC 1.6 Cdti 136PS 4DR,"€20,950",Opel,Mokka,SC,Medium Trim,2019,"63,426 km",Diesel,Manual,MPV,1.6 litre,136hp,9.9 sec,5,4,Black,Ireland,1,270,Oct 2023,5/5,,,,,
Digger Driver/Groundworker,"€2,000",Other,,,,,,,,,,,,,,,,,,,,,,,Excavators,
Land Rover Defender P400e X-dynamic SE 400 BHP Hy,"€104,950",LAND ROVER,Defender,---,---,2021,"19,312 km",Hybrid,Automatic,Estate,2.0 litre,---,---,---,5,Grey,UK,1,---,Jun 2025,---,,---,,,
Audi A7 Finance From  126 PER Week,"€38,999",Audi,A7,S Line,Luxury Trim,2017,"80,000 mi",Diesel,Automatic,Hatchback,3.0 litre,218hp,6.8 sec,5,5,Black,Ireland,2,170,May 2023,---,Available,,,,
Mercedes-Benz E-Class E 220 D Avantgarde A/T ( Ir,"€30,900",Mercedes-Benz,E-Class,AVANTGARDE,Medium Trim,2017,"98,000 km",Diesel,Automatic,Saloon,2.0 litre,194hp,7.3 sec,5,4,Black,Ireland,1,190,Jul 2023,---,Available,,,,
LAND ROVER Discovery 2002,"£3,400",LAND ROVER,Discovery,,,2002,"97,000 mi",Diesel,Manual,SUV,2.5 litre,,,7,5,Green,United Kingdom,9,---,---,,,,,,
Kia Ceed Kia Ceed 1.4 TX Petrol 5DR,"€15,950",KIA,Ceed,TX,Base Trim,2017,"53,001 km",Petrol,Manual,Hatchback,1.4 litre,100hp,12.7 sec,5,5,Red,Ireland,1,280,Apr 2021,5/5,4 Year,,,,
"18 VOLKSWAGEN AMAROK 3,0TDI V6 HIGHLINE AUTO","£22,450",Volkswagen,Amarok,,,2018,"91,750 mi",Diesel,Automatic,Pick Up,3.0 litre,,,5,,,,,,,,,,,,
"Volkswagen Polo, 2008","€3,495",Volkswagen,Polo,,,2008,"209,000 km",Petrol,Manual,Hatchback,1.2 litre,,,5,5,Silver,Ireland,5,280,Aug 2023,,,,,,
Subaru XV 2.0d Premium 4WD Commercial,"€12,999",Subaru,XV,,,2016,"95,801 km",Diesel,Manual,Van,2.0 litre,,,---,,,,,,,,,,,,
Mercedes-Benz E-Class D SE Automatic // Heated El,"€39,945",Mercedes-Benz,E-Class,AMG Line Ext,Medium Trim,2019,"40,000 km",Diesel,Automatic,Saloon,1.9 litre,194hp,7.3 sec,5,4,Grey,Ireland,2,270,Mar 2023,5/5,Available,,,,
Audi Q5 Q5 Sportback 2.0 35tdi S-line Black Editi,"€72,995",Audi,Q5,S Line,Luxury Trim,2022,"13,539 km",Diesel,Automatic,SUV,2.0 litre,163hp,---,5,5,Grey,Ireland,1,390,Jan 2026,5/5,3 Year,,,,
"Hyundai i40, 2015","€11,995",Hyundai,i40,Comfort Plus,Medium Trim,2015,"61,250 mi",Diesel,Manual,Saloon,1.7 litre,115hp,12.4 sec,5,4,Blue,Ireland,2,190,Nov 2023,5/5,3 Month,,,,
Hitachi 26u,"€20,650",HITACHI,,,,,,,,,,,,,,,,,,,,,,,Excavators,
Volkswagen Passat NCT 8/23,"€6,595",Volkswagen,Passat,COMFORTLINE,Medium Trim,2013,"304,000 km",Diesel,Manual,Saloon,1.6 litre,105hp,12.2 sec,5,4,Grey,Ireland,2,200,Aug 2023,5/5,,,,,
"Audi A3, 2008","€3,695",Audi,A3,,,2008,"235,000 km",Petrol,Manual,Hatchback,1.6 litre,,,5,3,Grey,Ireland,6,570,Feb 2023,,,,,,
